-------------------------
Time: 2025-06-14 04:01:40 | *** Validation Epoch 0 End ***
  - Val Loss: 0.6413
  - Val Acc:  0.6602
  - Val F1:   0.4284
-------------------------
==================================================
Run Name: 20250614_040131_gpt2_lora
Training started at: 2025-06-14 04:01:43
==================================================

--- Hyperparameters ---
-------------------------

Time: 2025-06-14 05:22:48 | Step: 12500 | Train Loss: 0.3106
Time: 2025-06-14 05:23:07 | Step: 12550 | Train Loss: 0.3495
Time: 2025-06-14 05:23:25 | Step: 12600 | Train Loss: 0.3842
Time: 2025-06-14 05:23:43 | Step: 12650 | Train Loss: 0.3822
Time: 2025-06-14 05:24:01 | Step: 12700 | Train Loss: 0.3598
Time: 2025-06-14 05:24:19 | Step: 12750 | Train Loss: 0.3629
Time: 2025-06-14 05:24:37 | Step: 12800 | Train Loss: 0.3070
Time: 2025-06-14 05:24:56 | Step: 12850 | Train Loss: 0.2971
Time: 2025-06-14 05:25:14 | Step: 12900 | Train Loss: 0.4047
Time: 2025-06-14 05:25:32 | Step: 12950 | Train Loss: 0.3703
Time: 2025-06-14 05:25:50 | Step: 13000 | Train Loss: 0.3396
Time: 2025-06-14 05:26:08 | Step: 13050 | Train Loss: 0.2639
Time: 2025-06-14 05:26:26 | Step: 13100 | Train Loss: 0.3521
Time: 2025-06-14 05:26:45 | Step: 13150 | Train Loss: 0.3432
Time: 2025-06-14 05:27:03 | Step: 13200 | Train Loss: 0.3441
Time: 2025-06-14 05:27:21 | Step: 13250 | Train Loss: 0.2898
-------------------------
Time: 2025-06-14 05:28:20 | *** Validation Epoch 5 End ***
  - Val Loss: 0.3507
  - Val Acc:  0.8359
  - Val F1:   0.8247
-------------------------
Time: 2025-06-14 05:28:44 | Step: 13300 | Train Loss: 0.3487
Time: 2025-06-14 05:29:02 | Step: 13350 | Train Loss: 0.3419
Time: 2025-06-14 05:29:20 | Step: 13400 | Train Loss: 0.3883
Time: 2025-06-14 05:29:39 | Step: 13450 | Train Loss: 0.3525
Time: 2025-06-14 05:29:57 | Step: 13500 | Train Loss: 0.4288
Time: 2025-06-14 05:30:15 | Step: 13550 | Train Loss: 0.3166
Time: 2025-06-14 05:30:33 | Step: 13600 | Train Loss: 0.4262
Time: 2025-06-14 05:30:51 | Step: 13650 | Train Loss: 0.3521
Time: 2025-06-14 05:31:09 | Step: 13700 | Train Loss: 0.2843
Time: 2025-06-14 05:31:28 | Step: 13750 | Train Loss: 0.2905
Time: 2025-06-14 05:31:46 | Step: 13800 | Train Loss: 0.4050
Time: 2025-06-14 05:32:04 | Step: 13850 | Train Loss: 0.3814
Time: 2025-06-14 05:32:22 | Step: 13900 | Train Loss: 0.3286
Time: 2025-06-14 05:32:40 | Step: 13950 | Train Loss: 0.2186
Time: 2025-06-14 05:32:58 | Step: 14000 | Train Loss: 0.3836
Time: 2025-06-14 05:33:17 | Step: 14050 | Train Loss: 0.4270
Time: 2025-06-14 05:33:35 | Step: 14100 | Train Loss: 0.4566
Time: 2025-06-14 05:33:53 | Step: 14150 | Train Loss: 0.4100
Time: 2025-06-14 05:34:11 | Step: 14200 | Train Loss: 0.3068
Time: 2025-06-14 05:34:29 | Step: 14250 | Train Loss: 0.2986
Time: 2025-06-14 05:34:48 | Step: 14300 | Train Loss: 0.4300
Time: 2025-06-14 05:35:06 | Step: 14350 | Train Loss: 0.3942
Time: 2025-06-14 05:35:24 | Step: 14400 | Train Loss: 0.3161
Time: 2025-06-14 05:35:42 | Step: 14450 | Train Loss: 0.3356
Time: 2025-06-14 05:36:00 | Step: 14500 | Train Loss: 0.3871
Time: 2025-06-14 05:36:18 | Step: 14550 | Train Loss: 0.2743
Time: 2025-06-14 05:36:37 | Step: 14600 | Train Loss: 0.4675
Time: 2025-06-14 05:36:55 | Step: 14650 | Train Loss: 0.3809
Time: 2025-06-14 05:37:13 | Step: 14700 | Train Loss: 0.2725
Time: 2025-06-14 05:37:31 | Step: 14750 | Train Loss: 0.3837
Time: 2025-06-14 05:37:49 | Step: 14800 | Train Loss: 0.3473
Time: 2025-06-14 05:38:08 | Step: 14850 | Train Loss: 0.3424
Time: 2025-06-14 05:38:26 | Step: 14900 | Train Loss: 0.3533
Time: 2025-06-14 05:38:44 | Step: 14950 | Train Loss: 0.4390
Time: 2025-06-14 05:39:02 | Step: 15000 | Train Loss: 0.3740
