-------------------------
Time: 2025-06-14 04:02:00 | *** Validation Epoch 0 End ***
  - Val Loss: 0.6413
  - Val Acc:  0.6602
  - Val F1:   0.4284
-------------------------
==================================================
Run Name: 20250614_040151_gpt2_dora
Training started at: 2025-06-14 04:02:02
==================================================

--- Hyperparameters ---
-------------------------

Time: 2025-06-14 04:56:01 | Step: 6700 | Train Loss: 0.3614
Time: 2025-06-14 04:56:23 | Step: 6750 | Train Loss: 0.4182
Time: 2025-06-14 04:56:46 | Step: 6800 | Train Loss: 0.3661
Time: 2025-06-14 04:57:08 | Step: 6850 | Train Loss: 0.4065
Time: 2025-06-14 04:57:31 | Step: 6900 | Train Loss: 0.4349
Time: 2025-06-14 04:57:53 | Step: 6950 | Train Loss: 0.4454
Time: 2025-06-14 04:58:16 | Step: 7000 | Train Loss: 0.4092
Time: 2025-06-14 04:58:38 | Step: 7050 | Train Loss: 0.3321
Time: 2025-06-14 04:59:01 | Step: 7100 | Train Loss: 0.3942
Time: 2025-06-14 04:59:23 | Step: 7150 | Train Loss: 0.3832
Time: 2025-06-14 04:59:46 | Step: 7200 | Train Loss: 0.2968
Time: 2025-06-14 05:00:08 | Step: 7250 | Train Loss: 0.3880
Time: 2025-06-14 05:00:31 | Step: 7300 | Train Loss: 0.3323
Time: 2025-06-14 05:00:53 | Step: 7350 | Train Loss: 0.3851
Time: 2025-06-14 05:01:16 | Step: 7400 | Train Loss: 0.3576
Time: 2025-06-14 05:01:38 | Step: 7450 | Train Loss: 0.3581
Time: 2025-06-14 05:02:01 | Step: 7500 | Train Loss: 0.4075
Time: 2025-06-14 05:02:23 | Step: 7550 | Train Loss: 0.2926
Time: 2025-06-14 05:02:46 | Step: 7600 | Train Loss: 0.3751
Time: 2025-06-14 05:03:08 | Step: 7650 | Train Loss: 0.2826
Time: 2025-06-14 05:03:31 | Step: 7700 | Train Loss: 0.3084
Time: 2025-06-14 05:03:53 | Step: 7750 | Train Loss: 0.3377
Time: 2025-06-14 05:04:16 | Step: 7800 | Train Loss: 0.4521
Time: 2025-06-14 05:04:38 | Step: 7850 | Train Loss: 0.4259
Time: 2025-06-14 05:05:01 | Step: 7900 | Train Loss: 0.4315
Time: 2025-06-14 05:05:23 | Step: 7950 | Train Loss: 0.3204
Time: 2025-06-14 05:05:46 | Step: 8000 | Train Loss: 0.4284
Time: 2025-06-14 05:06:08 | Step: 8050 | Train Loss: 0.3244
Time: 2025-06-14 05:06:31 | Step: 8100 | Train Loss: 0.2988
Time: 2025-06-14 05:06:53 | Step: 8150 | Train Loss: 0.3592
Time: 2025-06-14 05:07:16 | Step: 8200 | Train Loss: 0.3095
Time: 2025-06-14 05:07:38 | Step: 8250 | Train Loss: 0.3906
Time: 2025-06-14 05:08:01 | Step: 8300 | Train Loss: 0.3747
Time: 2025-06-14 05:08:23 | Step: 8350 | Train Loss: 0.3212
Time: 2025-06-14 05:08:46 | Step: 8400 | Train Loss: 0.3499
Time: 2025-06-14 05:09:08 | Step: 8450 | Train Loss: 0.3251
Time: 2025-06-14 05:09:31 | Step: 8500 | Train Loss: 0.4071
Time: 2025-06-14 05:09:53 | Step: 8550 | Train Loss: 0.2927
Time: 2025-06-14 05:10:16 | Step: 8600 | Train Loss: 0.3073
Time: 2025-06-14 05:10:38 | Step: 8650 | Train Loss: 0.3742
Time: 2025-06-14 05:11:01 | Step: 8700 | Train Loss: 0.2946
Time: 2025-06-14 05:11:23 | Step: 8750 | Train Loss: 0.3274
Time: 2025-06-14 05:11:46 | Step: 8800 | Train Loss: 0.3641
-------------------------
Time: 2025-06-14 05:13:09 | *** Validation Epoch 3 End ***
  - Val Loss: 0.3688
  - Val Acc:  0.8265
  - Val F1:   0.8164
-------------------------
Time: 2025-06-14 05:13:23 | Step: 8850 | Train Loss: 0.3555
Time: 2025-06-14 05:13:46 | Step: 8900 | Train Loss: 0.4689
Time: 2025-06-14 05:14:08 | Step: 8950 | Train Loss: 0.3731
Time: 2025-06-14 05:14:30 | Step: 9000 | Train Loss: 0.4180
Time: 2025-06-14 05:14:53 | Step: 9050 | Train Loss: 0.4277
Time: 2025-06-14 05:15:15 | Step: 9100 | Train Loss: 0.3532
Time: 2025-06-14 05:15:38 | Step: 9150 | Train Loss: 0.4054
Time: 2025-06-14 05:16:01 | Step: 9200 | Train Loss: 0.4174
Time: 2025-06-14 05:16:23 | Step: 9250 | Train Loss: 0.3681
Time: 2025-06-14 05:16:46 | Step: 9300 | Train Loss: 0.3230
Time: 2025-06-14 05:17:08 | Step: 9350 | Train Loss: 0.4779
Time: 2025-06-14 05:17:31 | Step: 9400 | Train Loss: 0.3056
Time: 2025-06-14 05:17:53 | Step: 9450 | Train Loss: 0.4116
Time: 2025-06-14 05:18:16 | Step: 9500 | Train Loss: 0.3438
Time: 2025-06-14 05:18:38 | Step: 9550 | Train Loss: 0.3528
Time: 2025-06-14 05:19:00 | Step: 9600 | Train Loss: 0.3752
Time: 2025-06-14 05:19:23 | Step: 9650 | Train Loss: 0.3934
Time: 2025-06-14 05:19:45 | Step: 9700 | Train Loss: 0.3512
Time: 2025-06-14 05:20:08 | Step: 9750 | Train Loss: 0.3858
Time: 2025-06-14 05:20:30 | Step: 9800 | Train Loss: 0.3458
Time: 2025-06-14 05:20:53 | Step: 9850 | Train Loss: 0.3698
Time: 2025-06-14 05:21:15 | Step: 9900 | Train Loss: 0.2892
Time: 2025-06-14 05:21:38 | Step: 9950 | Train Loss: 0.3522
Time: 2025-06-14 05:22:00 | Step: 10000 | Train Loss: 0.3028
Time: 2025-06-14 05:22:23 | Step: 10050 | Train Loss: 0.3518
Time: 2025-06-14 05:22:46 | Step: 10100 | Train Loss: 0.4223
Time: 2025-06-14 05:23:08 | Step: 10150 | Train Loss: 0.4652
Time: 2025-06-14 05:23:31 | Step: 10200 | Train Loss: 0.2667
Time: 2025-06-14 05:23:53 | Step: 10250 | Train Loss: 0.4391
Time: 2025-06-14 05:24:16 | Step: 10300 | Train Loss: 0.3243
Time: 2025-06-14 05:24:38 | Step: 10350 | Train Loss: 0.3231
Time: 2025-06-14 05:25:01 | Step: 10400 | Train Loss: 0.4028
Time: 2025-06-14 05:25:23 | Step: 10450 | Train Loss: 0.3755
Time: 2025-06-14 05:25:46 | Step: 10500 | Train Loss: 0.4136
Time: 2025-06-14 05:26:08 | Step: 10550 | Train Loss: 0.3444
Time: 2025-06-14 05:26:31 | Step: 10600 | Train Loss: 0.3750
Time: 2025-06-14 05:26:53 | Step: 10650 | Train Loss: 0.4349
Time: 2025-06-14 05:27:16 | Step: 10700 | Train Loss: 0.2868
Time: 2025-06-14 05:27:38 | Step: 10750 | Train Loss: 0.4534
Time: 2025-06-14 05:28:01 | Step: 10800 | Train Loss: 0.3205
Time: 2025-06-14 05:28:23 | Step: 10850 | Train Loss: 0.4494
