global_step	epoch	step_in_epoch	timestamp	loss
29150	9	2617	2025-06-15 07:48:29	0.0690
29200	9	2667	2025-06-15 07:48:59	0.1224
29250	9	2717	2025-06-15 07:49:29	0.0823
29300	9	2767	2025-06-15 07:49:59	0.0782
29350	9	2817	2025-06-15 07:50:29	0.1041
29400	9	2867	2025-06-15 07:50:59	0.1118
29450	9	2917	2025-06-15 07:51:29	0.0981
29500	10	19	2025-06-15 07:54:01	0.0741
29550	10	69	2025-06-15 07:54:31	0.0927
29600	10	119	2025-06-15 07:55:01	0.0584
29650	10	169	2025-06-15 07:55:31	0.1349
29700	10	219	2025-06-15 07:56:01	0.0717
29750	10	269	2025-06-15 07:56:32	0.0597
29800	10	319	2025-06-15 07:57:02	0.0696
29850	10	369	2025-06-15 07:57:32	0.0513
29900	10	419	2025-06-15 07:58:02	0.0672
29950	10	469	2025-06-15 07:58:32	0.0826
30000	10	519	2025-06-15 07:59:02	0.0794
30050	10	569	2025-06-15 07:59:32	0.0808
30100	10	619	2025-06-15 08:00:03	0.0919
30150	10	669	2025-06-15 08:00:33	0.0830
30200	10	719	2025-06-15 08:01:03	0.1320
30250	10	769	2025-06-15 08:01:33	0.0619
30300	10	819	2025-06-15 08:02:03	0.1264
30350	10	869	2025-06-15 08:02:33	0.0498
30400	10	919	2025-06-15 08:03:03	0.1217
30450	10	969	2025-06-15 08:03:34	0.1022
30500	10	1019	2025-06-15 08:04:04	0.0508
30550	10	1069	2025-06-15 08:04:34	0.0658
30600	10	1119	2025-06-15 08:05:04	0.0680
30650	10	1169	2025-06-15 08:05:34	0.0568
30700	10	1219	2025-06-15 08:06:04	0.0721
30750	10	1269	2025-06-15 08:06:34	0.0745
30800	10	1319	2025-06-15 08:07:05	0.2044
30850	10	1369	2025-06-15 08:07:35	0.0794
30900	10	1419	2025-06-15 08:08:05	0.0612
30950	10	1469	2025-06-15 08:08:35	0.1328
31000	10	1519	2025-06-15 08:09:05	0.0507
31050	10	1569	2025-06-15 08:09:35	0.1199
31100	10	1619	2025-06-15 08:10:05	0.0785
31150	10	1669	2025-06-15 08:10:36	0.0649
31200	10	1719	2025-06-15 08:11:06	0.0820
31250	10	1769	2025-06-15 08:11:36	0.1014
31300	10	1819	2025-06-15 08:12:06	0.1290
31350	10	1869	2025-06-15 08:12:36	0.0762
31400	10	1919	2025-06-15 08:13:06	0.0885
31450	10	1969	2025-06-15 08:13:36	0.0438
31500	10	2019	2025-06-15 08:14:07	0.0604
31550	10	2069	2025-06-15 08:14:37	0.0925
31600	10	2119	2025-06-15 08:15:07	0.0659
31650	10	2169	2025-06-15 08:15:37	0.0504
31700	10	2219	2025-06-15 08:16:07	0.0701
31750	10	2269	2025-06-15 08:16:37	0.1185
31800	10	2319	2025-06-15 08:17:07	0.0557
31850	10	2369	2025-06-15 08:17:38	0.0686
31900	10	2419	2025-06-15 08:18:08	0.1087
31950	10	2469	2025-06-15 08:18:38	0.0824
32000	10	2519	2025-06-15 08:19:08	0.0542
32050	10	2569	2025-06-15 08:19:38	0.1321
32100	10	2619	2025-06-15 08:20:08	0.0799
32150	10	2669	2025-06-15 08:20:38	0.0864
32200	10	2719	2025-06-15 08:21:09	0.0884
32250	10	2769	2025-06-15 08:21:39	0.1229
32300	10	2819	2025-06-15 08:22:09	0.1447
32350	10	2869	2025-06-15 08:22:39	0.0637
32400	10	2919	2025-06-15 08:23:09	0.0861
32450	11	21	2025-06-15 08:25:28	0.0632
32500	11	71	2025-06-15 08:25:58	0.0537
32550	11	121	2025-06-15 08:26:29	0.0987
32600	11	171	2025-06-15 08:26:59	0.0734
32650	11	221	2025-06-15 08:27:29	0.0430
32700	11	271	2025-06-15 08:27:59	0.0876
32750	11	321	2025-06-15 08:28:30	0.0580
32800	11	371	2025-06-15 08:29:00	0.0389
32850	11	421	2025-06-15 08:29:30	0.1291
32900	11	471	2025-06-15 08:30:00	0.0424
32950	11	521	2025-06-15 08:30:30	0.0570
33000	11	571	2025-06-15 08:31:00	0.0771
33050	11	621	2025-06-15 08:31:30	0.0720
33100	11	671	2025-06-15 08:32:01	0.0652
33150	11	721	2025-06-15 08:32:31	0.0397
33200	11	771	2025-06-15 08:33:01	0.0505
33250	11	821	2025-06-15 08:33:31	0.0415
33300	11	871	2025-06-15 08:34:01	0.0613
33350	11	921	2025-06-15 08:34:31	0.0403
